0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
3	3	3	3	3
6	6	6	6	6
12	12	12	12	12
13	13	13	13	13
10	11	12	13	14
10	11	12	13	14
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
15	15	15	15	15
14	14	14	14	14
14	14	14	14	14
14	14	14	14	14
14	14	14	14	14
11	11	11	11	11
11	11	11	11	11
11	11	11	11	11
8	8	8	8	8
5	5	5	5	5
2	2	2	2	2
2	2	2	2	2
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
